Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Freq],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2015","1270.2","2014-2016","","1550.4","990","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2014-2016.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2015","3286.6","2014-2016","","3939.6","2633.6","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2014-2016.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2015","1522.9","2014-2016","","1796.1","1249.7","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2014-2016.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2016","1714","2015-2017","","2008.9","1419","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2015-2017.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2016","3506.1","2015-2017","","4194.3","2817.9","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2015-2017.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2016","1273.3","2015-2017","","1562.6","984","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2015-2017.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2017","1176.4","2016-2018","","1455.2","897.7","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2016-2018.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2017","3505.4","2016-2018","","4216.3","2794.5","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2016-2018.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2017","1819.2","2016-2018","","2145.9","1492.6","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2016-2018.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2018","2222.3","2017-2019","","2621.4","1823.2","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2017-2019.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2018","4032.6","2017-2019","","4839.9","3225.3","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2017-2019.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2018","1235.8","2017-2019","","1526.6","945","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2017-2019.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2019","1496.4","2018-2020","","1817.1","1175.8","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2018-2020.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2019","4163.3","2018-2020","","4965","3361.6","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2018-2020.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2019","2072.4","2018-2020","","2437","1707.7","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2018-2020.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2020","2012","2019-2021","","2373.1","1651","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2019-2021.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2020","4089","2019-2021","","4907.1","3270.8","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2019-2021.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2020","1499.9","2019-2021","","1839.5","1160.4","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2019-2021.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2021","1413.9","2020-2022","","1735.4","1092.3","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2020-2022.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2021","3775.3","2020-2022","","4562.6","2987.9","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2020-2022.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2021","1836.1","2020-2022","","2191","1481.3","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2020-2022.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2022","1772.7","2021-2023","","2165.4","1380.1","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2021-2023.","15+","","G","E","G","FEMALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2022","3255.6","2021-2023","","4024","2487.2","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2021-2023.","ALLAGE","","G","E","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2022","1052.1","2021-2023","","1324.7","779.5","","Food and Agriculture Organization of the United Nations (FAO)","","3-year average of the period 2021-2023.","15+","","G","E","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2023","NaN","2022-2024","","NaN","NaN","","NA","","NaN = A figure was not provided","15+","","NA","O","G","MALE","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2023","NaN","2022-2024","","NaN","NaN","","NA","","NaN = A figure was not provided","ALLAGE","","NA","O","G","BOTHSEX","NUM_TH"
"2","2.1","2.1.2","AG_PRD_FIESMSN","Population in moderate or severe food insecurity (thousands of people)","724","Spain","2023","NaN","2022-2024","","NaN","NaN","","NA","","NaN = A figure was not provided","15+","","NA","O","G","FEMALE","NUM_TH"
